Author_ID	Aff_Order	First name	Middle initial(s)	Last name	Department	Institute	City	Country
1	1	Selim	Melvin	Atay	Neuroscience and Neurotechnology	Middle East Technical University	Ankara	Turkey
2	1	Katja		Heuer	Center for Research and Interdisciplinarity	Université Paris Descartes	Paris	France
2	2				Department of Neuropsychology	Max Planck Institute for Human Cognitive and Brain Sciences	Leipzig	Germany
3	1	Eneko		Uruñuela		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
3	2					University of the Basque Country (EHU UPV)	San Sebastián-Donostia	Spain
4	1	Saskia		Bollmann	Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
5	1	Davide		Momi	Department of Neuroscience, Imaging and Clinical Sciences	"University ""G. d'Annunzio"" of Chieti"	Chieti	Italy
6	1	Antonino		Vallesi	Department of Neuroscience & Padova Neuroscience Center	University of Padova	Padova	Italy
6	2				Brain Imaging and Neural Dynamics Research Group	IRCCS San Camillo Hospital	Venice	Italy
7	1	Michael		Dayan	Human Neuroscience Platform	Fondation Campus Biotech Geneva	Geneva	Switzerland
8	1	R.	Todd	Constable	Yale MRRC	Yale University	New Haven CT	USA
8	2				School of Medicine	Yale University	New Haven CT	USA
9	1	Nikoloz		Sirmpilatze	Functional Imaging Laboratory	German Primate Center - Leibniz Institute for Primate Research	Göttingen	Germany
10	1	Fabrizio		De Vico Fallani	ARAMIS team	Inria	Paris	France
10	2				Paris Brain Institute	Sorbonne Universites	Paris	France
11	1	Yu-Fang		Yang	Department of Psychology	Würzburg University	Würzburg	Germany
12	1	Samuel		Guay		University of Montréal	Montréal, Québec	Canada
13	1	Gregory		Kiar	Montréal Neurological Institute	McGill University	Montréal, Québec	Canada
14	1	Roxane		Licandro		Medical University of Vienna	Vienna	Austria
14	2					TU Wien	Vienna	Austria
15	1	AmanPreet		Badhwar	Multiomics Investigation of Neurodegenerative Diseases (MIND) Lab	University of Montréal	Montréal, Québec	Canada
15	2				Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
15	3				Département de pharmacologie et physiologie	University of Montréal	Montréal, Québec	Canada
16	1	César		Caballero-Gaudes		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
17	1	Lucina	Q.	Uddin	Department of Psychology	University of Miami	Florida	USA
18	1	Matteo		Visconti di Oleggio Castello	Helen Wills Neuroscience Institute	University of California, Berkley	Berkeley	USA
19	1	Dorien	C.	Huijser	Erasmus School of Social and Behavioural Sciences	Erasmus University Rotterdam	Rotterdam	The Netherlands
19	2				Developmental and Educational Psychology	Leiden University	Leiden	The Netherlands
20	1	Eleftherios		Garyfallidis	Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
21	1	Davide		Poggiali	Padova Neuroscience Center	University of Padova	Padova	Italy
22	1	Shawn	A.	Rhoads	Psychology	Georgetown University	Washington D.C.	USA
23	1	Stephanie		Noble	Radiology & Biomedical Imaging	Yale University	New Haven CT	USA
24	1	Angela	R.	Laird	Department of Physics	Florida International University	Miami FL	USA
25	1	Nasim		Anousheh	Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
26	1	Thomas	S.	Hartmann		Philipps Universität	Marburg	Germany
27	1	Damion	V.	Demeter	Psychology Department	The University of Texas at Austin	Austin TX	USA
28	1	Tiago		Quendera		Champalimaud Research	Lisbon	Portugal
29	1	Stefano		Moia		Basque Center on Cognition, Brain and Language	San Sebastián-Donostia	Spain
29	2					University of the Basque Country (EHU UPV)	San Sebastián-Donostia	Spain
30	1	Jon Haitz		Legarreta	Computer Science	Université de Sherbrooke	Sherbrooke	Canada
31	1	Camille		Maumet	Empenn ERL U 1228   IRISA UMR 6074	Univ Rennes, Inria, CNRS, Inserm	Rennes	France
32	1	Angela		Tam		Perceiv Research Inc.	Montréal, Québec	Canada
33	1	Xihe		Xie	Department of Neuroscience	Weill Cornell Medicine	New York City	USA
34	1	Andrew		Doyle	McGill Centre for Integrative Neuroscience	McGill University	Montréal, Québec	Canada
35	1	Felipe		Meneguzzi	School of Technology	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
36	1	Roberto		Toro	Neuroscience department	Institut Pasteur	Paris	France
37	1	Bramsh	Q.	Chandio	Department of Intelligent Systems Engineering	Indiana University	Bloomington IN	USA
38	1	Ai Wern		Chung	Fetal-Neonatal Neuroimaging and Developmental Science Center	Boston Children's Hospital, Harvard Medical School	Boston	USA
39	1	Anders		Eklund	Department of Biomedical Engineering	Linköping University	Linköping	Sweden
39	2				Department of Computer and Information Science	Linköping University	Linköping	Sweden
39	3				Center for Medical Image Science and Visualization (CMIV)	Linköping University	Linköping	Sweden
40	1	Guillaume		Dumas	Department of Psychiatry	University of Montréal	Montréal, Québec	Canada
40	2				Mila	University of Montréal	Montréal, Québec	Canada
41	1	Valentina		Borghesani	Centre de Recherche de l'Institut Universitaire de Gériatrie de Montréal	University of Montréal	Montréal, Québec	Canada
42	1	Gael	P.	Varoquaux	Parietal	Inria	Saclay	France
42	2				Montréal Neurological Institute	McGill University	Montréal, Québec	Canada
43	1	Christopher	R.	Madan	Psychology	University of Nottingham	Nottingham	UK
44	1	Samuel	A.	Nastase	Princeton Neuroscience Institute	Princeton University	Princeton NJ	USA
45	1	Saampras		Ganesan	Systems Neuroscience	Melbourne Neuropsychiatry Centre	Melbourne	Australia
45	2				Department of Biomedical Engineering	The University of Melbourne	Melbourne	Australia
46	1	Hao-Ting		Wang	Sackler Centre for Consciousness Science	University of Sussex	Brighton	UK
46	2				Department of Neuroscience	Brighton and Sussex Medical School, University of Sussex	Brighton	UK
46	3				Sussex Neuroscience	University of Sussex	Brighton	UK
47	1	Katherine	L.	Bottenhorn	Department of Psychology	Florida International University	Miami FL	USA
48	1	Aysha		Motala	Department of Psychology	University of Western Ontario	London ON	Canada
49	1	Horea-Ioan		Ioanas	Biological Engineering	MIT	Cambridge	USA
49	2				D-ITET	ETH Zurich	Zurich	Switzerland
50	1	Andrija		Stajduhar	Croatian Institute for Brain Research, School of Medicine	University of Zagreb	Zagreb	Croatia
50	2				Andrija Stampar School of Public Health, School of Medicine	University of Zagreb	Zagreb	Croatia
51	1	P. Christiaan		Klink	Department of Vision & Cognition	Netherlands Institute for Neuroscience	Amsterdam	The Netherlands
52	1	Gustav		Nilsonne	Department of Clinical Neuroscience	Karolinska Institutet	Stockholm	Sweden
52	2				Department of Psychology	Stockholm University	Stockholm	Sweden
53	1	Michel		Thiebaut de Schotten	Brain Connectivity and Behaviour Laboratory	Sorbonne Universities	Paris	France
54	1	Augusto		Buchweitz	Brain Institute of Rio Grande do Sul	Pontifical Catholic University of Rio Grande do Sul	Porto Alegre	Brazil
55	1	J.P.		Manzano-Patron	Radiological Sciences & Sir Peter Mansfield Imaging Centre	University of Nottingham	Nottingham	UK
56	1	Clara	A.	Moreau		Pasteur Institute	Paris	France
56	2					University of Montréal	Montréal, Québec	Canada
57	1	Richard	A.I.	Bethlehem	Autism Research Centre, Department of Psychiatry	University of Cambridge	Cambridge	UK
57	2				Brain Mapping Unit, Department of Psychiatry	University of Cambridge	Cambridge	UK
58	1	Kathryn	L.	Mills	Department of Psychology	University of Oregon	Eugene	USA
58	2				PROMENTA Research Center, Department of Psychology	University of Oslo	Oslo	Norway
59	1	Dimitra		Maoutsa	Institute of Software Engineering and Theoretical Computer Science	Technical University of Berlin	Berlin	Germany
60	1	Lindsay	D.	Oliver		Centre for Addiction and Mental Health	Toronto	Canada
61	1	Claire		Bradley	Queensland Brain Institute	The University of Queensland	St Lucia	Australia
62	1	Thomas	B.	Shaw	Centre for Advanced Imaging	The University of Queensland	Brisbane	Australia
63	1	Edwina	R.	Orchard	Turner Institute for Brain and Mental Health	Monash University	Melbourne	Australia
64	1	Ariel		Rokem	Psychology and eScience Institute	University of Washington	Seattle WA	USA
65	1	Kelly	G.	Garner	Queensland Brain Institute	The University of Queensland	St Lucia	Australia
65	2				School of Psychology	University of Birmingham	Birmingham	UK
65	3				School of Psychology	The University of Queensland	St Lucia	Australia
66	1	Julia		Sprenger	Institut de Neurosciences de la Timone	CNRS - Aix-Marseille University	Marseille	France
67	1	Christoph		Vogelbacher	Laboratory for Multimodal Neuroimaging,  Department of Psychiatry and Psychotherapy	University of Marburg	Marburg	Germany
68	1	Sylvain		Takerkart	Institut de Neurosciences de la Timone	CNRS - Aix-Marseille University	Marseille	France
69	1	Julia	M.	Huntenburg	Systems Neuroscience Lab	Champalimaud Research	Lisbon	Portugal
70	1	Giorgia		Cona	Department of General Psychology	University of Padova	Padova	Italy
71	1	Patrick		Friedrich	Institute of Neuroscience and Medicine, Brain & Behaviour (INM-7)	Research Centre Jülich	Jülich	Germany
72	1	R. Austin		Benn		Centro Nacional de Investigaciones Cardiovasculares (CNIC)	Madrid	Spain
73	1	Xenia		Kobeleva	Department of Neurology	University of Bonn	Bonn	Germany
73	2					German Center for Neurodegenerative Diseases (DZNE)	Bonn	Germany
