First name	Middle initial(s)	Last name	2nd affiliation	3rd affiliation	osf_id	twitter	mattermost	As co-author, I have read and approve submission of this manuscript	participated in event (for example: led or joined a hackathon project)	organized or helped organizing an event	taught at event (for example: traintrack)	attended any general group meetings of this project	attended any core group meetings of this project	led general group meetings	led core group meetings	prepared meeting venue (zoom) (for any meeting)	prepared meeting agenda	managed meeting times (doodle)	took notes in meeting	monitored chat in meeting	prepared or emailed meeting summaries to the group	contributed to paper brainstorm	attended section group meetings	wrote original section content	revised for a section	created figures	created tables, glossary	gathered data	performed master editing	performed internal review	responded to internal review and revised manuscript	participated in the jupyter book creation	prepared / gave presentations at Brainhack global events	preprint dissemination	List the brainhack events you participated at and/or helped organized and/or taught at.	projects	reproducibility	trainings	community / collaboration	better code	Feel free to add any other information regarding your contribution.	ranking	joint_first	Author_ID
Rémi		Gau*			uamsk	RemiGau		X	X	X	X	X	X	X	X		X	X	X		X	X	X		X		X		X			X			Attended OHBM hackathon 2019 and openMR benelux 2019, organized OHBM hackathon 2020 and openMR benelux 2020		X					1	*	95
Stephanie		Noble*			3p6n5	sneuroble	sneuroble	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X	X			X		X	X		X	Brainhack Yale 2018, 2019				X			2	*	23
Katja		Heuer*	Center for Research and Interdisciplinarity / University of Paris / Paris / France		jjeax	katjaQheuer	katja	X	X	X	X	X	X				X	X	X	X	X	X	X	X	X	X		X	X		X	X	X		Co-orga OHBM Hackathon2019 & Brainhacks Paris 2016–; BH Berlin, Hawaii, Geneva, Vancouver, Warsaw,Zurich; co-founder of BrainWeb	X	X		X	X	It was soooo much fun, and I probably learnt a ton more than what I was able to contribute! <3	3	*	2
Katherine	L.	Bottenhorn*				62442katieb	62442katieb	X	X	X		X	X		X	X	X	X	X	X	X	X	X	X	X	X							X		OHBM Hackathons 2020 and 2021			X	X			4	*	47
Isil	P.	Bilgin*	Allied Health Professions / Institute / Bristol / UK		smyxn/	complexbrains	isil	X	X	X		X	X			X	X	X	X		X	X	X	X			X	X				X	X	X	All the brainhack global and satellite events during the passing 2 years, and Ohbm brainhack 2020, 2019						Last 2 years, I heavily worked on development & maintenance of Brainhack Global guidelines, strategies, tools, community.	5	*	119
Yu-Fang		Yang*				ufangyang	ufangyang	X	X	X		X	X	X		X	X	X	X			X	X		X	X					X		X	X	OHBM Brainhack 2020	X		X	X	X		6	*	11
Julia	M.	Huntenburg*				juhuntenburg	juhuntenburg	X	X	X	X	X	X							X									X		X				Brainhack Lisbon 2019, Brainhack Leipzig 2017, Brainhack Neuroanatomy Paris 2016, OHBM Hackathon 2014, etc							7	*	69
Johanna	M. M.	Bayer*	/ Orygen Youth Health / Melbourne / Australia			likeajumprope	likeajumprope	X	X	X		X	X		X	X	X	X	X	X	X				X	X			X	X	X	X		X	Brainhack Global 2020	X	X	X	X	X	I contributed to the sections but as editor and reviewer	8	*	94
Richard	A.I.	Bethlehem*	Brain Mapping Unit, Department of Psychiatry / University of Cambridge / Cambridge / UK			rai_bethlehem		X	X	X		X	X			X				X	X	X		X	X		X		X		X		X		Brainhacks Paris 2016, 2017, Brainhack Global 2016 Cambridge, Brainhack Global 2019 Cambridge	X						9	*	57
Shawn	A.	Rhoads			9vn7a	ShawnRhoads56	shawnrhoads	X	X	X	X	X	X			X		X	X	X		X	X	X	X							X		X	Co-organized Brainhack Washington DC, USA (2019, 2020); Taught workshops at Brainhack Washington DC, USA (2019, 2020)	X			X			10		22
